"CandCommName","Payee","CityState","Amount","ExpenditureDate","ExpenditureType","ExpenditureCode"
"Vi Simpson for Indiana","NGP SOFTWARE INC","WASHINGTON, DC","800.0000","4/25/2003 12:00:00 AM","Direct","Operations"
"Vi Simpson for Indiana","NGP SOFTWARE INC","WASHINGTON, DC","1600.0000","7/7/2003 12:00:00 AM","Direct","Operations"
"Vi Simpson for Indiana","NGP SOFTWARE INC","WASHINGTON, DC","800.0000","8/5/2003 12:00:00 AM","Direct","Operations"
"Vi Simpson for Indiana","NGP SOFTWARE INC","WASHINGTON, DC","800.0000","10/17/2003 12:00:00 AM","Direct","Operations"
"Vi Simpson for Indiana","NGP SOFTWARE INC","WASHINGTON, DC","1750.0000","4/3/2003 12:00:00 AM","Direct","Operations"
"Vi Simpson for Indiana","NGP SOFTWARE INC","WASHINGTON, DC","750.0000","11/24/2003 12:00:00 AM","Direct","Operations"
"INDIANA DEMOCRATIC STATE CENTRAL COMMITTEE","NGP SOFTWARE INC","WASHINGTON, DC","4293.7500","8/14/2004 12:00:00 AM","Missing","Operations"
"INDIANA DEMOCRATIC STATE CENTRAL COMMITTEE","NGP SOFTWARE INC","WASHINGTON, DC","1400.0000","7/9/2004 12:00:00 AM","Missing","Operations"
"The Committee to Elect Robert Kuzman","NGP SOFTWARE","WASHINGTON, DC","1050.0000","6/20/2006 12:00:00 AM","Direct","Operations"
"INDIANA DEMOCRATIC STATE CENTRAL COMMITTEE","NGP Software","Washington, DC","4050.0000","10/1/2007 12:00:00 AM","Other","Missing"
"Jim Schellinger for Indiana","NGP Software","Washington, DC","1950.0000","8/29/2007 12:00:00 AM","Direct","Operations"
"Hoosiers for Jill Long Thompson","NGP Software","Washington, DC","2400.0000","10/1/2007 12:00:00 AM","Direct","Operations"
"The Committee to Elect Robert Kuzman","NGP SOFTWARE","Washington, DC","2100.0000","6/1/2007 12:00:00 AM","Direct","Operations"
"Jim Schellinger for Indiana","NGP Software","Washington, DC","1500.0000","1/31/2008 12:00:00 AM","Direct","Operations"
"Jim Schellinger for Indiana","NGP Software","Washington, DC","1500.0000","3/7/2008 12:00:00 AM","Direct","Operations"
"Hoosiers for Jill Long Thompson","NGP Software","Washington, DC","2400.0000","1/18/2008 12:00:00 AM","Direct","Operations"
"INDIANA DEMOCRATIC STATE CENTRAL COMMITTEE","NGP Software","Washington, DC","2100.0000","1/1/2008 12:00:00 AM","Other","Missing"
"Linda Pence for Attorney General","NGP Software Inc.","Washington, DC","3300.0000","4/16/2008 12:00:00 AM","Direct","Missing"
"Jim Schellinger for Indiana","NGP Software","Washington, DC","1000.0000","9/9/2008 12:00:00 AM","Direct","Contributions"
"Hoosiers for Jill Long Thompson","NGP Software Inc.","Washington, DC","2400.0000","5/12/2008 12:00:00 AM","Direct","Operations"
"Hoosiers for Jill Long Thompson","NGP Software Inc.","Washington, DC","2400.0000","7/8/2008 12:00:00 AM","Direct","Operations"
"Hoosiers for Jill Long Thompson","NGP Software Inc.","Washington, DC","500.0000","8/7/2008 12:00:00 AM","Direct","Missing"
"Marion County Democratic Central Committee","NGP Software","Washington, DC","3450.0000","10/9/2008 12:00:00 AM","Direct","Missing"
"INDIANA DEMOCRATIC STATE CENTRAL COMMITTEE","NGP Software","Washington, DC","1400.0000","8/1/2008 12:00:00 AM","Other","Missing"
"INDIANA DEMOCRATIC STATE CENTRAL COMMITTEE","NGP Software","Washington, DC","187.5000","9/12/2008 12:00:00 AM","Other","Missing"
"INDIANA DEMOCRATIC STATE CENTRAL COMMITTEE","NGP Software","Washington, DC","2100.0000","5/1/2008 12:00:00 AM","Other","Missing"
"Ed DeLaney for Our House","NGP SOFTWARE","WASHINGTON, DC","750.0000","7/18/2008 12:00:00 AM","Direct","Operations"
"Hoosiers for Jill Long Thompson","NGP Software Inc.","Washington, DC","2400.0000","10/16/2008 12:00:00 AM","Direct","Missing"
"Linda Pence for Attorney General","NGP Software Inc.","Washington, DC","1650.0000","10/8/2008 12:00:00 AM","Direct","Operations"
"INDIANA DEMOCRATIC STATE CENTRAL COMMITTEE","NGP Software","Washington, DC","1400.0000","8/1/2008 12:00:00 AM","Other","Missing"
"INDIANA DEMOCRATIC STATE CENTRAL COMMITTEE","NGP Software","Washington, DC","2100.0000","5/1/2008 12:00:00 AM","Other","Missing"
"INDIANA DEMOCRATIC STATE CENTRAL COMMITTEE","NGP Software","Washington, DC","187.5000","9/12/2008 12:00:00 AM","Other","Missing"
"INDIANA DEMOCRATIC STATE CENTRAL COMMITTEE","NGP Software","Washington, DC","2100.0000","10/14/2008 12:00:00 AM","Other","Missing"
"Marion County Democratic Central Committee","NGP Software","Washington, DC","3450.0000","10/9/2008 12:00:00 AM","Direct","Missing"
