REP_NUM,AFFILIATION_ID,NAME,STREET,CITY,STATE,ZIP,
"21358","26","Republican Party","2415 Diffee","Tahlequah","OK","74464"
"23544","15","ConocoPhillips","600 N. Dairy Ashford","Houston","TX","77079"
"21349","153","Service Corp International","1929 Allen Parkway","Houston","TX","77019"
"21177","154","Sierra Club Oklahoma","PO Box 60644","Oklahoma City","OK","73146"
"6852","155","Okla Consumer Finance Assn","222 NE 27th St","Oklahoma City","OK","73105"
"22440","156","Southwest Assn","PO Box 419264","Kansas City","MO","64141-6264"
"23189","157","National Right to Work Comm","8001 Braddock Rd Ste 500","Springfield","VA","22160"
"27630","158","Sunoco, Inc","1735 Market St","Philadelphia","PA","19103"
"20688","159","Oklahoma's Rural Electric Cooperatives","PO Box 206","Temple","OK","73568"
"6865","160","TDS Telecommunications Corp","PO Box 5158","Madison","WI","53705"
"21179","161","Teamsters Local Union No 523","PO Box 1836","Tulsa","OK","74101"
"20900","162","Terra Industries Inc. & Subsidiaries","","","",""
"6869","163","State Democratic Party","","","",""
"22314","164","Okla Fed Of Repub Women C/o Sue Thompson","9973 Birkenhead Ct","Yukon","OK","73099"
"20871","165","Trinity Industries Inc.","2525 Stemmons Freeway","Dallas","TX","75207"
"22430","166","Tulsa Firefighters Local 176","1283 S Detroit","Tulsa","OK","74120"
"21350","167","Transport Workers Union Of America","501 Third St NW 9th Flr","Washington","DC","20001"
"21180","168","United Assn Plumbing & Pipefitting Et Al","3 Park Place","Annapolis","MD","21401"
"21766","169","Union Pacific Corporation","1400 Douglas Street","Omaha","NE","68179"
"22325","170","United Food & Commercial Wokrers Int'l Union","1775 K St NW","Washington","DC","20006"
"21351","171","USW","Five Gateway Center","Pittsburgh","PA","15222"
"23636","172","Washington County Democratic Party","3915 Silver Lake Drive","Bartlesville","OK","74006"
"21768","173","Waste Management","701 Pennsylvania Ave NW Ste 590","Washington","DC","20004"
"22525","174","Wells Fargo Financial Inc","800 Walnut St","Des Moines","IA","50309-3636"
"22332","175","The Williams Companies Inc.","PO Box 2400","Tulsa","OK","74103"
"21770","176","Oklahoma House Of Respresentatives D","PO Box 12923","Oklahoma City ","OK","73157"
"23286","177","WOKA PAC","P.O. Box 57568","Oklahoma City","OK","73157"
"25625","180","Zeneca Inc","1800 Concord Pike","Wilmington","DE","19850"
"22122","181","JP Morgan Chase & Co","270 Park Ave","New York","NY","10017"
"20849","182","Johnson & Johnson","One Johnson & Johnson Plaza","New Brunswick","NJ","08933"
"21752","183","Oklahoma Transit Assn","1140 NW 63rd St #100","Oklahoma City","OK","73116"
"23225","184","Okla Democratic Party","4100 N Lincoln Blvd","Oklahoma City","OK","73105"
"23024","185","Lawton Firefighters Assn Local 1882","PO Box 1255","Lawton","OK","73502"
"25584","186","Good Government","","","OK",""
"21572","187","Unit Corp","7130 S Lewis Ste 1000","Tulsa","OK","74136"
"21304","188","None Given","None","None","OK","73000"
"21868","189","BP Corp North America Inc","501 Westlake Park Blvd, 25.194B","Houston","TX","77079"
"29994","190","Nat'l Fed Of Independent Business","53 Century Blvd #250","Nashville","TN","37214"
"22229","191","Oklahoma Retired Educators Assn","PO BOx 18485","Oklahoma City","OK","73154"
"7006","192","Hoffmann La Roche","340 Kingsland St","Nutley","NJ","07110"
"30387","193","Pontotoc County Democrat Central Committee","16365 CR 1562","Ada","OK","74820"
"25232","145","Oklahoma Democratic Party","","Oklahoma City","OK",""
"21173","146","USW Local 13857","1202 W Ponca","Ponca City","OK","74601"
"22305","148","Okla State Radiological Society","4500 S Garnett Ste 919","Tulsa","OK","74146"
"22530","149","Okla Fed Of Repub Women","PO Box 1744","Enid","OK","73702"
"22304","150","Reynolds American Inc","PO Box 2990","Winston-Salem","NC","27102"
"20870","151","OK State Republican Committee","4031 N Lincoln Blvd ","Oklahoma City ","OK","73105"
"6846","152","Royal Indemnity Company","9300 Arrowpoint Blvd","Charlotte","NC","28273"
"21476","41","High Technology is the primary inter","","","",""
"25605","42","Allstate Insurance Company","2775 Sanders Rd Ste A2W","Northbrook","IL","60062"
"21478","43","Anadarko Petroleum Corp","1201 Lake Robbins Dr","The Woodlands","TX","77380-1160"
"22765","44","IAFF Local 200","PO Box 1336","Bartlesville","OK","74006"
"22024","45","Dominion","120 Tredegar St","Richmond","VA","23219"
"22025","46","Duke Energy Corp 400 S Tryon St, Charlotte, NC 28201","Cinergy Corp PAC, 139 E Fourth St","Cincinnati","OH","45202"
"22027","48","Eli Lilly And Company","Lilly Corporate Center","Indianapolis","IN","46285"
"21309","49","Farmers Insurance Group","4680 Wilshire Blvd","Los Angeles","CA","90010"
"22057","50","Mid-Continent Oil And Gas Assn Of Ok","6701 N Broadway Ste 300","Oklahoma City","OK","73116"
"21126","51","HCA - The Healthcare Company","","","",""
"22472","52","Okla Fed Of  Republican Women","9973 Birkenhead","Yukon","OK","73099"
"21099","53","Hunters & Dog Breeders","3902 W 56th","Stillwater","TX","74074"
"22825","54","Int'l Assn Of Bridge, Structural, Ornamental & Reinforcing Iron Workers","1750 New York Ave NW","Washington","DC","20006"
"23480","55","Okla State Republican Party","4031 N Lincoln Blvd","Oklahoma City","OK","73105"
"21102","57","Northeastern Okla Labor Council","1857 N 105th E Ave","Tulsa","OK","74116"
"6945","58","Okla Fed Rep Women","901 N Redbud Terr","Mustang","VA",""
"21103","59","National Rifle Assn Of America","11250 Waples Mill Rd","Fairfax","VA","22030"
"22215","60","Professional Firefighters Of Okla AFL-CIO/CLC","6103 Melrose Ln","Oklahoma City","OK","73127"
"20891","61","Ok Assn Of Ins Agents","PO Drawer 13490","Oklahoma City","OK","73113"
"21105","62","Oklahoma Assn Of Youth Services","201 NE 50th St","Oklahoma City","OK","73105"
"22216","63","Oklahoma Independent Petroleum Association","500 N. E. 4th Street, Suite 200","Oklahoma City","OK","73104"
"23026","64","Oklahoma Grocers Assn","PO Box 18716","Oklahoma City","OK","73154"
"20862","65","Okla Malt Beverage Assn","6301 Waterford Blvd., Ste. 105","Oklahoma City","OK","73118"
"20894","66","Mfg Hsng Assoc Of OK","6400 S Shields Blvd","Oklahoma City","OK","73149"
