CONT_ID,CONT_NAME,BUSINESS_ACTIVITY,
"9433","MIAMI LOCAL FARMERS UNION","INSURANCE"
"26352","COTTON COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25240","CHOCTAW COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25242","LOGAN COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25243","LINCOLN COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25245","LINCOLN COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25246","WOODWARD COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25247","OAKRIDGE FARMS","FARM"
"25248","WOODWARD COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25249","WOODWARD COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25250","WOODWARD COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25251","ELLIS COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25252","MUSKOGEE COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25253","OK BAPTIST HOME FOR CHILDREN","UNKNOWN"
"25254","PAWNEE COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25255","LINCOLN COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25259","WORKMAN INSURANCE AGENCY","UNKNOWN"
"25268","SEMINOLE COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25269","KB FEED","FEED"
"25270","FARMERS UNION LOCAL 14","FRATERNAL ORGANIZATION"
"25271","KIOWA COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25272","HARPER COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25273","TILLMAN COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25274","SEQUOYAH COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25275","ROGER MILLS COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25276","FARMERS UNION LOCAL 166","FRATERNAL ORGANIZATION"
"25277","LOVE COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25278","WOODS COUNTY FARMERS UNION","FRATERNAL  ORGANIZATION"
"25279","MCCURTAIN COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25281","MUSKOGEE COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25282","DOWD INS AGENCY","INSURANCE AGENCY"
"25312","CADDO COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25313","WASHINGTON COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25172","MAJOR COUNTY FARMERS UNION","AGRICULTURE"
"25173","FARMERS UNION LOCAL 669","AGRICULTURE"
"25174","KAY COUNTY FARMERS UNION","AGRICULTURE"
"25175","WAGONER COUNTY FARMERS UNION","AGRICULTURE"
"25176","FARMERS UNION  34","AGRICULTURE"
"25178","NOWATA COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25180","NOBLE COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25181","LINDSAY LOCAL 670","FRATERNAL ORGANIZATION"
"25182","CANADIAN COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25183","PITTSBURG COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25184","PITTSBURG FARMERS UNION","FRATERNAL ORGANIZATION"
"25191","TULSA COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25192","FARMERS UNION LOCAL 166","FRATERNAL ORGANIZATION"
"25193","DEWEY COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25194","OKLAHOMA COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25195","FARMERS UNION LOCAL 129","FRATERNAL ORGANIZATION"
"25198","OSAGE COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25203","GREER COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25212","JACKSON COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25214","MUSKOGEE COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25217","ADAIR COUNTY FARMERS UNION","FRATERNAL ORGANIZATION"
"25239","OK BAPTIST HOMES FOR CHILDREN","UNKNOWN"
"27745","HEAVENLY HEIGHTS BAPTIST CHURCH","Church"
"27748","JLW CONSULTING, INC.","JLW Consulting"
"27749","BAPTIST GENERAL CONVENTION OF OK","Faith Based Organization"
"26286","TRINITY BAPTIST CHURCH","Church"
"26287","GRACE COMMUNITY BAPTIST CHURCH","Church"
"26288","CHURCH ON THE MOVE","Church"
"26412","BAPTIST GENERAL CONVENTION OF OKLA","Denomination Organziation"
"26253","ONE NATION, INC.","Corporation"
"27792","KRITTENBRINK PHARMACY","pharmacy"
"35347","GUYMON CLINIC PHARMACY","Guymon Clinic Pharmacy"
"7604","OAYS CHILDREN'S PAC","Children"
"7605","OAYS CHILDREN'S PAC","Children"
"7402","AVEST BANK PAC","Banking"
"7403","AVEST BANK PAC","Banking"
"7404","OK SOC OF ANESTH. PAC","Physicians"
"7405","OK SOC OF ANESTH. PAC","Physicians"
"7412","OWMA PAC","Distributors"
"7413","OWMA PAC","Distributors"
"7366","ELI LILLY & CO. PAC",""
"7367","ELI LILLY & CO. PAC",""
"7378","VALOR TELPAC","Telecom."
"7379","VALOR TELPAC","Telecom."
