DEPOS_ID,FULL_NAME,STREET,CITY,STATE,ZIP,REP_NUM,
"1326","First National Bank ","130 E MacArthur","Shawnee","OK","74801","34066"
"10","Chase","PO Box 25848","Oklahoma City","OK","73105","32264"
"158","First State Bank","Muskogee","Tahlequah","OK","74464","21358"
"81","Bank of Oklahoma","3815 SE Frank Phillips Blvd.","Bartlesville","OK","74006","23544"
"80","66 Federal Credit Union","PO Box 1358","Bartlesville","OK","74005","23544"
"79","Arvest Bank","PO Box 999","Bartlesville","OK","74005","23544"
"118","Arvest Bank","210 Park Ave Ste 200","Oklahoma City","OK","","7161"
"511","First United Bank","PO Box 130","Durant","OK","","21758"
"513","JP Morgan Chase Bank","PO Box 2558","Houston","TX","","21349"
"514","Arvest","200  & Main","Norman","OK","","21177"
"515","F & M Bank & Trust","1924 S Utica","Tulsa","OK","74120","6852"
"516","Mechanics and Farmers Bank","PO Box 1932","Durham","NC","","25644"
"517","Mercantile Bank - TX","PO Box 163049","Ft Worth","TX","","22440"
"518","Smith Barney","","Oklahoma City","OK","","21756"
"519","Bank One","PO Box 25848","Oklahoma City","OK","73125-0848","6858"
"520","Bank of Oklahoma","","Oklahoma City","OK","","23027"
"521","1st Bank & Trust","923 W","Duncan","OK","","20899"
"522","Arvest Bank","729 Main St","Duncan","OK","","22429"
"523","Comerica Bank","PO Box 75000","Detroit","MI","","27630"
"524","BancFirst","PO Box 1","Stillwater","OK","","20688"
"525","Comerica Bank","PO Box 75000","Detroit","MI","48275-2250","6865"
"526","F & M Bank","PO Box 4500","Tulsa","OK","","21179"
"527","BancFirst","PO Box 26788","Oklahoma City","OK","","21764"
"528","Security National Bank","PO Box 147","Sioux City","IA","","20900"
"529","First National Bank","PO Box 840","Hooker","OK","73945","6869"
"530","BancFirst","PO Box 26788","Oklahoma City","OK","","22314"
"531","JP Morgan Chase Bank","PO Box 219392","Kansas City","MO","","20871"
"532","Community Bank & Trust","2420 SW Blvd","Tulsa","OK","","20904"
"533","Community Bank & Trust","PO Box 9428","Tulsa","OK","","22430"
"534","JP Morgan Chase","","New York","NY","","21350"
"535","Bank of America","1501 Penn Ave NW","Washington","DC","","21180"
"536","First National Bank & Trust","121 S Main St","Broken Arrow","OK","","20905"
"537","BancFirst","PO Box 26788","Oklahoma City","OK","73126","6878"
"538","Wells Fargo Bank","PO BOx 3408","Omaha","NE","","21766"
"539","Suntrust Bank","900 17th St NW","Washington","DC","","22325"
"540","PNC Bank","500 First Ave","Pittsburgh","PA","","22327"
"541","Stillwater National Bank","","Stillwater","OK","","21767"
"542","Arvest Bank","PO Box 999","Bartlesville","OK","74005","23636"
"543","Bank of America","730 Fifteenth St","Washington","DC","","21768"
"544","US Bank","520 Walnut St","Des Moines","IA","","22525"
"545","Comerica Bank","PO Bxo 75000 MC 2250","Detroit","MI","","22332"
"546","Bank One","100 N Broadway","Oklahoma City","OK","","21770"
"547","BancFirst","PO Box 26788","Oklahoma City","OK","","21773"
"548","Alva State Bank","","Alva","OK","","20689"
