TRANSACTION_ID,RECEIPT_TYPE,OTHER_DESC,
TRANSACTION_ID,RECEIPT_TYPE,OTHER_DESC,
"100611","Interest",""
"102755","Interest","Interest Income"
"97356","Refund","Check Printing refund"
"97333","Refund","Reimbursement for Travel"
"97334","Other Receipt","Void O/S Cks Previously Rptd"
"104948","Other Receipt","Reimbursement for Travel"
"79300","Refund","REIMBURSE EXTRA FOOD"
"85473","Refund","Refund of filing fees"
"85499","Refund","Refund of Clear Channel Overpay"
"85500","Refund","Refund of Ovepay to KSWO TV"
"72814","Refund","Refund of Filing fee"
"72815","Refund","returned merchandise"
"70951","Refund",""
"78116","Refund",""
"73711","Refund","Filing Fee Refund"
"91078","Other Receipt","Reimbursement for pens ordered."
"79602","Refund","Filing Fee"
"76478","Refund","refund of credit"
"76479","Sale of Assets","buttons, bumper stickers, signs"
"76480","Sale of Assets","buttons, bumper stickers, signs"
"76482","Sale of Assets","buttons, bumper stickers, signs"
"76483","Sale of Assets","buttons, bumper stickers, signs"
"76484","Sale of Assets","buttons, bumper stickers, signs"
"76485","Sale of Assets","buttons, bumper stickers, signs"
"76486","Sale of Assets","buttons, bumper stickers, signs"
"82093","Refund","mall HQ deposit"
"82094","Refund","refund of credit"
"82102","Sale of Assets","sale of Kerry buttons, stickers"
"65595","Refund",""
"106152","Other Receipt","Reimbursement"
"56687","Other Receipt","Contributions Not Shown on Prior Amended Report"
"56686","Other Receipt","Contributions Not Shown on Prior Amended Report"
"24969","Other Receipt","Bank Account Adjustment"
"71020","Refund","Primary Election Refund"
"77968","Other Receipt","Reimbursement for Travel"
"78742","Other Receipt","Reimbursement for Travel"
"85720","Refund","Postage Refund"
"66551","Other Receipt","Sale of T-shirts to members"
"104742","Refund",""
"30292","Interest","Dividend"
"30293","Interest","Dividend"
"58573","Other Receipt","Donation to Admin Account"
"91024","Interest",""
"91021","Interest","Bank Interest"
"91022","Interest","Bank Interest"
"91023","Interest","Bank Interest"
"98613","Interest","Bank Interest"
"98614","Interest","Bank Interest"
