TRANSACTION_ID,DESCRIPTION,PURP,BENEFICIARY,C5R_TRANS_ID,
"259243","Banner","support","",""
"293903","Ck 1805","support","",""
"855174","Catering 2009 Legislative Breakfast","support","",""
"1021502","2010 Contributon","support","",""
"842526","Media Consulting","support","Boren for State Senate 2008",""
"1183866","Contribution","support","",""
"1580110","Advertising","oppose","Josh Cockroft",""
"1632928","Radio Advertisement","support","Justin Wood, HD-26","1599559"
"1690125","1/4 page Ad","oppose","Ronald Skip Kelly for City Council Ward 7",""
"824682","Auto Call","oppose","Aaron Carlson","779288"
"855172","Printing","support","Legislative breakfast  invatations",""
"1183594","Contribution","support","",""
"1172715","check","support","John Trebilcock",""
"1237234","Contribution","support","",""
"1266376","Radio Production and Buy","oppose","Aaron Stiles","1218884"
"1266374","Radio Production and Buy","oppose","Ryan Smith","1218882"
"1266373","Radio Production and Buy","oppose","Kyle Burmeier","1218881"
"1266372","Radio Production and Buy","oppose","Roger Mattox","1218880"
"1266368","Radio Production and Buy","oppose","Steve Vaughan","1218883"
"1483767","Polling","support","House District 68","1483577"
"1508474","Candidate Committee","support","Oklahomans for Bob Anthony",""
"1526363","Campaign Donation","support","",""
"1593204","RETAINER","support","SD 17",""
"1592720","RETAINER","support","SD 17",""
"1651092","direct mailing","support","Brian Crane, SD-39","1597303"
"1563715","direct mailer","oppose","Kevin McDugle","1563712"
"1563716","direct mailer","oppose","Kevin McDugle","1563709"
"1563718","direct mailer","support","Brian Crane","1563713"
"1634743","Direct Mail","support","Lane, SD 7","1597785"
"1584362","Booth Rental","support","CCRP",""
"1612500","Campaign Donation","support","Dan Newberry",""
"26551","March 2004 Fees- Bank charges and adjustments","","",""
"26550","February 2004 Fees- Bank charges and adjustments","","",""
"26549","January 2004 Fees-  Bank charges and adjustments","","",""
"1322135","Expenditures of $50 or less","support","none given",""
"475077","Lobbist Expenses","support","Lobbist",""
"824656","Auto Call","oppose","Harold Wright","807156"
"874627","Independent Expenditure","support","Taylor for Tulsa",""
"971652","donation","support","",""
"1183945","Contribution","support","",""
"1183606","Contribution","support","",""
"1207284","add for candidate forum","oppose","Glen Bud Smithson, House District 2",""
"1459290","Auction Item","support","AFR PAC",""
"1459288","Auction Item","support","AFR PAC",""
"1459287","Auction Item","support","AFR PAC",""
"1459286","Auction Item","support","AFR PAC",""
"1459090","Auction Item","support","AFR PAC",""
"1459089","Auction Item","support","AFR PAC",""
"1459088","Auction Item","support","AFR PAC",""
"1459087","Auction Item","support","AFR PAC",""
"1459086","Auction Item","support","AFR PAC",""
"1459289","Auction Item","support","AFR PAC",""
"1428289","Auction Item","support","AFR PAC",""
"1428288","Auction Item","support","AFR PAC",""
"1428287","Auction Item","support","AFR PAC",""
"1428290","Auction Item","support","AFR PAC",""
"1428286","Auction Item","support","AFR PAC",""
"1440920","Auction Item","support","AFR PAC",""
"1440919","Auction Item","support","AFR PAC",""
"1440918","Auction Item","support","AFR PAC",""
"1440917","Auction Item","support","AFR PAC",""
"1440921","Auction Item","support","AFR PAC",""
"1483765","Mail Piece, Desing, Print, Mail","support","Glenn Mulready","1483482"
"1483757","Mail Piece Design, Print, and Mail","support","Friends of Todd Thomsen","1483478"
"1634742","Direct Mail","support","Lane, SD 7","1597848"
"774645","Printing and Postage","oppose","Aaron Carlson",""
"774644","Printing and Postage","support","Aaron Carlson",""
"774643","Printing and Postage","support","Aaron Carlson",""
"779372","Printing and postage","support","Aaron Stiles",""
"779370","Printing and postage","support","Aaron Carlson",""
"779368","Printing and postage","support","Kyle Coulter",""
"779366","Printing and postage","support","Aaron Stiles",""
"779365","Printing and postage","support","Jay Matlock",""
"779364","Printing and postage","support","Aaron Carlson",""
"779363","Printing and postage","support","Jay Matlock",""
"779361","Printing and postage","support","Aaron Stiles",""
"779367","Printing and postage","support","Kyle Coulter",""
"779360","Printing and Postage","support","Aaron Carlson",""
"779362","Printing and postage","support","Kyle Coulter",""
"779371","Printing and postage","support","Jay Matlock",""
"824680","Printing and Postage","oppose","Jason Nelson","779268"
"824673","Printing and Postage","oppose","Aaron Carlson","804444"
"824672","Printing and Postage","oppose","Aaron Stiles","804481"
"824670","Printing and Postage","oppose","Aaron Stiles","802224"
