CONT_ID,CONT_NAME,
"45032","T.A.S.C.O"
"45033","n/a"
"45047","Oklahoma Democratic Party"
"45060","Lowes"
"45112","Neighbor Newspapers"
"45113","First Bank Of Owasso"
"45114","ONB Bank And Trust Company"
"45115","Office Depot"
"45116","Lowther & Shepard"
"45117","Aaron Caughern"
"45118","Fed Ex Kinkos"
"45119","Graftec Communications, Inc."
"45141","TOTE ALONG"
"45142","MIAMI LODGE #140"
"45144","BILL SHAPARD CONSULTING"
"45145","BILL SHAPARD CONSULTING"
"45146","RILEY FOR SENATE 37   2004"
"45147","SENATOR CHARLES LASTER"
"45148","REPRESENTATIVE JARI ASKINS"
"45149","CLAY POPE FOR STATE REPRESENTATIVE COMM 2002"
"45150","HIETT FOR THE HOUSE  2004"
"45151","FRED MORGAN FOR STATE REPRESENTATIVE 2002"
"45152","DEMOCRATS OF THE OKLA STATE SENATE"
"45153","PRUITT FOR STATE SENATE"
"45154","PRUITT FOR STATE SENATE"
"45155","BRADDOCK FOR STATE REP 2004"
"45156","OKLA STATE REPUB SENATORIAL COMMITTEE"
"45157","JOE J. HUTCHISON"
"45158","JERRY HEFNER 2002"
"45159","BOB PLUNK FOR STATE REPRESENTIVE DIST 25 - 2004"
"45160","OKLA FIRST PAC"
"45161","COMMITTEE TO ELECT DANNY MORGAN 2002"
"45162","RANDALL LEE ERWIN 2002"
"45163","COMMITTEE TO ELECT BUD SMITHSON  2002"
"45164","COMMITTEE TO ELECT RON MILLER 2004"
"45165","FRIENDS OF PURCY D. WALKER - 2004"
"45166","n/a"
"45167","BANK ONE, NA"
"45168","U.S. POSTAL SERVICE"
"45169","THAD BALKMAN FOR HOUSE OF REP DIST 45 2004"
"45170","OKLAHOMANS FOR DAN BOREN 2004"
"45171","DAVID B. BRADDOCK 2004"
"45172","AL LINDLEY FOR HOUSE 2004"
"45173","JOE SWEEDEN FOR REP 2004"
"45174","TREBILCOCK 2004"
"45175","FRIENDS FOR DENNIS ADKINS 2002"
"45176","CARGILL 2002"
"45177","FRIENDS OF OWEN LAUGHLIN 2004"
"45178","WILCOXSON SENATE COMMITTEE 2004"
"45179","HELTON FOR SENATE 2000"
"45180","DARRELL GILBERT CAMPAIGN 2002"
"45181","COMMITTEE TO ELECT JAMES WILLIAMSON 2004"
"45182","OKLA STATE REPUB SENATORIAL COMMITTEE"
"45183","VME CONSULTING"
"45194","OSU STU GOVNT ASSN"
"45195","U.S. POSTMASTER"
"45196","ADMAIL"
"45197","HIGHLAND COMMUNICATIONS, LLC"
"45198","BILL SHAPARD"
"45199","BETTY LOU'S FLOWERS"
"45200","OU"
"45201","SBC"
"45202","FUNDRAISER SUPPLIES"
"45203","CONOCO"
"45204","CINGULAR"
"45205","HOOPER PRINTING"
"45206","COPELINS"
"45207","RADISON HOTEL"
"45208","AIRFARE"
"45209","NORMAN BUSINESS ASSN"
"45210","KIWANIS"
"45211","B. CREATIVE"
"45212","BETTY DAVIS"
"45213","NEVA HILL & COMPANY"
"45215","THE UPS STORE"
"45216","HALL OF FAME PAC"
"45217","CURTIS BUILDING SUPPLY"
"45218","DARRELL GILBERT"
"45219","DEBBE LEFTWICH"
"45220","FRIENDS OF DEBBIE BLACKBURN 2002"
"45221","PIZZA HUT"
"45222","GROVE CHAMBER OF COMMERCE"
"45223","WAL-MART"
"45224","ROBERT MCDOWELL"
"45225","LOWE'S"
"45226","US POST OFFICE"
"45227","SCISSORTAIL GROUP"
"45228","HARDESTY PRESS"
"45229","LUCKY LAMONS"
"45230","DCS CENTRAL PRINTING"
"45231","TRANSCRIPT PRESS"
"45232","LUTON & CO."
"45233","MICHELLE EVANS"
"45234","BETTER BY DESIGN STUDIO"
"45235","NOWATA COUNTY AREA PEOPLE"
"45236","NOWATA STAR"
"45237","STAPLES"
"45238","ALBERTSONS"
"45239","KELEHER OUTDOOR ADVERTISING, INC"
"45240","DISCOUNT LIQUOR"
"45241","WALMART"
"45242","GARYWISE.COM"
"45243","DILLARDS"
"45244","TULSA MACHINE, INC"
"45245","SPENCER KING"
"45246","RYAN REYNOLDS"
"45247","AUSTIN KLIEWER"
"45248","STERLINGS GRILL"
"45249","CRAIG'S PHOTOGRAPHY"
"45250","ORIENTAL TRADING CO, INC"
"45251","REPUBLICAN STATE HOUSE COMMITTEE"
"45252","REPUBLICAN SENATORIAL COMMITTEE"
"45253","U. S. POSTMASTER"
"45254","HIPSLEY PRINTING"
"45255","HIPSLEY PRINTING CO."
"45256","DAVID B BRADDOCK 2004"
"45257","FRIENDS OF LUCKY LAMONS 2004"
"45258","DEBBIE LEFTWICH FOR SENATE 2003"
"45259","FIENDS FOR KRIS STEELE"
"45260","FRIENDS OF STUART ERICSON 2002"
"45261","FRIENDS OF SENATOR JONATHAN NICHOLS 2004"
"45262","JOE DORMAN FOR STATE REPRESENTATIVE 2002"
"45263","RAYMOND GENE MCCARTER  2004"
"45264","FRIENDS FOR SUSAN WINCHESTER 2004"
"45265","FRIENDS OF DEBBIE BLACKBURN 2004"
"45266","FRIENDS OF TAD JONES"
"45267","FRIENDS OF CHRIS BENGE"
"45268","FRIENDS OF RON PETERS 2002"
"45269","LANGLEY FOR STATE REP 2004"
"45270","PAUL D. ROAN FOR STATE REP  2004"
"45271","DEBBE LEFTWICH FOR SENATE DISTRICT 44"
"45272","JOE SWEEDEN CAMPAIGN"
"45273","ARDMORE PHOTOCOPY"
"45274","FORREST CONSULTING AND DESIGN, LTD"
"45275","FRIENDS OF BRAD HENRY FOR GOVERNOR 2002"
"45276","TEMPLE FFA"
"45277","COM TECH MARKETING"
"45278","AT&T"
"45279","MISS ROSE STATE"
"45280","MOORE CHAMBER"
"45281","HARDEDGE"
"45282","OK COUNTY NEWSPAPER"
"45283","ALIPH PETERSON"
"45284","MATTOCKS PRINTING"
"45302","BENNET'S DECAL & LABEL"
"45303","SAM'S CLUB"
"45304","SHEILA STOGSDILL"
"45305","PURCELL REGISTER"
"45306","HOMER MILLER COMPANY"
"45307","OFFICE MAX"
"45308","STRATFORD CHAMBER OF COMMERCE"
"45309","WALKER VOLUNTEER FIRE DEPARTMENT"
"45310","SULPHUR CHAMBER OF COMMERCE"
"45311","MODESTO VINYL LETTERING"
"45312","LARRY'S HEALTH MART"
"45313","FILLIN STATION"
"45314","SAMS CLUB"
"45315","MG NOVELTY"
"45316","WAL MART"
"45317","POWER PRINT"
"45318","SULPHUR ROTARY CLUB"
"45319","SOONER PRINTING"
"45320","DELAWARE COUNTY FAIR BOARD"
"45321","ALLEN SIGN STUDIO"
"45322","FRIENDS OF WAYNE PETTIGREW 2002"
"45323","U. S. POST OFFICE"
"45324","WOLF BOOSTERS"
"45325","SNYDERS PRINTING"
"45326","SHS KEY CLUB"
"45327","GUY H. LIEBMANN"
"45328","FRIENDS OF JIM SELLERS"
"45329","FRIENDS OF JEFF CLOUD  2002"
"45330","OKLAHOMANS FOR DENISE BODE, ATTORNEY GEN 2002"
"45331","MUNHOLLAND"
"45332","RAINES"
"45333","GRAHAM"
"45334","HAMPTON"
"45335","RHODES"
"45336","WOODWARD"
"45337","PAULK"
"45338","GARRETT"
"45339","DICKERSON"
"45340","EASLEY"
"45341","HERBERT"
"45342","MICKLE"
"45343","SHURDEN"
"45344","BLACKBURN"
"45345","COX"
"45346","ERVIN"
"45347","FRAME"
"45348","HUTCHISON"
"45349","ROSS"
"45350","STITES"
"45351","TAYLOR"
"45352","THOMAS"
"45031","Tahlequah Area Chamber Of Commerce"
